,name,year,movie_rated,run_length,genres,release_date,rating,num_raters,num_reviews,review_url,Action,Adventure,Animation,Biography,Comedy,Crime,Drama,Fantasy,History,Horror,Music,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western,pos,neg,neutral,pos_neg_ratio
51,X-Men: First Class,2011,PG-13,2h 11min,Action; Adventure; Sci-Fi; ,3 June 2011 (USA),7.7,634147,767,https://www.imdb.com/title/tt1270798/reviews/_ajax?ref_=undefined&paginationKey=,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.7545691906005222,0.23890339425587467,0.006527415143603133,3.158469945355191
52,District 9,2009,R,1h 52min,Action; Sci-Fi; Thriller; ,14 August 2009 (USA),7.9,627696,1375,https://www.imdb.com/title/tt1136608/reviews/_ajax?ref_=undefined&paginationKey=,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0.5277777777777778,0.4649122807017544,0.007309941520467836,1.1352201257861636
53,Star Wars: Episode II - Attack of the Clones,2002,PG,2h 22min,Action; Adventure; Fantasy; ,16 May 2002 (USA),6.5,621911,3652,https://www.imdb.com/title/tt0121765/reviews/_ajax?ref_=undefined&paginationKey=,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.5531739488870568,0.43638362187414126,0.010442429238801869,1.2676322418136021
54,Logan,2017,R,2h 17min,Action; Drama; Sci-Fi; ,3 March 2017 (USA),8.1,621174,1559,https://www.imdb.com/title/tt3315342/reviews/_ajax?ref_=undefined&paginationKey=,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.6784083496412263,0.30984996738421394,0.011741682974559686,2.1894736842105265
55,Skyfall,2012,PG-13,2h 23min,Action; Adventure; Thriller; ,9 November 2012 (USA),7.7,617644,1587,https://www.imdb.com/title/tt1074638/reviews/_ajax?ref_=undefined&paginationKey=,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.5958385876418664,0.39407313997477933,0.01008827238335435,1.512
56,Batman v Superman: Dawn of Justice,2016,PG-13,2h 31min,Action; Adventure; Sci-Fi; ,25 March 2016 (USA),6.4,608225,3696,https://www.imdb.com/title/tt2975590/reviews/_ajax?ref_=undefined&paginationKey=,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.6033549783549783,0.38825757575757575,0.008387445887445888,1.5540069686411149
57,The Hunger Games: Catching Fire,2013,PG-13,2h 26min,Action; Adventure; Mystery; ,22 November 2013 (USA),7.5,600099,720,https://www.imdb.com/title/tt1951264/reviews/_ajax?ref_=undefined&paginationKey=,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.5069444444444444,0.48194444444444445,0.011111111111111112,1.0518731988472623
58,The Bourne Ultimatum,2007,PG-13,1h 55min,Action; Mystery; Thriller; ,3 August 2007 (USA),8.0,595431,882,https://www.imdb.com/title/tt0440963/reviews/_ajax?ref_=undefined&paginationKey=,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0.5499425947187141,0.44202066590126293,0.008036739380022962,1.2441558441558442
59,Black Panther,2018,PG-13,2h 14min,Action; Adventure; Sci-Fi; ,16 February 2018 (USA),7.3,587388,3190,https://www.imdb.com/title/tt1825683/reviews/_ajax?ref_=undefined&paginationKey=,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.515987460815047,0.4746081504702194,0.009404388714733543,1.0871862615587846
60,Transformers,2007,PG-13,2h 24min,Action; Adventure; Sci-Fi; ,3 July 2007 (USA),7.0,586895,1869,https://www.imdb.com/title/tt0418279/reviews/_ajax?ref_=undefined&paginationKey=,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.3445692883895131,0.6495452113429642,0.005885500267522739,0.5304777594728172
61,World War Z,2013,PG-13,1h 56min,Action; Adventure; Horror; ,21 June 2013 (USA),7.0,586801,1125,https://www.imdb.com/title/tt0816711/reviews/_ajax?ref_=undefined&paginationKey=,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.33955555555555555,0.6453333333333333,0.015111111111111112,0.5261707988980716
62,Pirates of the Caribbean: At World's End,2007,PG-13,2h 49min,Action; Adventure; Fantasy; ,25 May 2007 (USA),7.1,582275,1290,https://www.imdb.com/title/tt0449088/reviews/_ajax?ref_=undefined&paginationKey=,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.41472868217054265,0.575968992248062,0.009302325581395349,0.7200538358008075
63,Suicide Squad,2016,PG-13,2h 3min,Action; Adventure; Fantasy; ,5 August 2016 (USA),6.0,581986,2253,https://www.imdb.com/title/tt1386697/reviews/_ajax?ref_=undefined&paginationKey=,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.28406569019085665,0.7052818464269862,0.010652463382157125,0.4027690371302706
64,Edge of Tomorrow,2014,PG-13,1h 53min,Action; Adventure; Sci-Fi; ,6 June 2014 (USA),7.9,581938,967,https://www.imdb.com/title/tt1631867/reviews/_ajax?ref_=undefined&paginationKey=,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.7383966244725738,0.25,0.011603375527426161,2.9535864978902953
65,Thor: The Dark World,2013,PG-13,1h 52min,Action; Adventure; Fantasy; ,8 November 2013 (USA),6.9,578425,695,https://www.imdb.com/title/tt1981115/reviews/_ajax?ref_=undefined&paginationKey=,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.637410071942446,0.35251798561151076,0.010071942446043165,1.8081632653061224
66,Kingsman: The Secret Service,2014,R,2h 9min,Action; Adventure; Comedy; ,13 February 2015 (USA),7.7,575952,935,https://www.imdb.com/title/tt2802144/reviews/_ajax?ref_=undefined&paginationKey=,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6160427807486631,0.3754010695187166,0.008556149732620321,1.641025641025641
67,Doctor Strange,2016,PG-13,1h 55min,Action; Adventure; Fantasy; ,4 November 2016 (USA),7.5,573177,945,https://www.imdb.com/title/tt1211837/reviews/_ajax?ref_=undefined&paginationKey=,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.7680084745762712,0.2245762711864407,0.007415254237288136,3.419811320754717
68,Sherlock Holmes,2009,PG-13,2h 8min,Action; Adventure; Mystery; ,25 December 2009 (USA),7.6,571401,693,https://www.imdb.com/title/tt0988045/reviews/_ajax?ref_=undefined&paginationKey=,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.7272727272727273,0.2683982683982684,0.004329004329004329,2.7096774193548385
69,Star Trek,2009,PG-13,2h 7min,Action; Adventure; Sci-Fi; ,8 May 2009 (USA),7.9,570077,1650,https://www.imdb.com/title/tt0796366/reviews/_ajax?ref_=undefined&paginationKey=,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.5935405240706886,0.396709323583181,0.009750152346130409,1.4961597542242704
70,Casino Royale,2006,PG-13,2h 24min,Action; Adventure; Thriller; ,17 November 2006 (USA),8.0,566966,2401,https://www.imdb.com/title/tt0381061/reviews/_ajax?ref_=undefined&paginationKey=,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.7392753019575177,0.25031236984589755,0.010412328196584756,2.9534109816971714
71,Jurassic World,2015,PG-13,2h 4min,Action; Adventure; Sci-Fi; ,12 June 2015 (USA),7.0,566272,1531,https://www.imdb.com/title/tt0369610/reviews/_ajax?ref_=undefined&paginationKey=,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.4121489222730242,0.5793598954931417,0.008491182233834096,0.7113866967305524
72,X-Men,2000,PG-13,1h 44min,Action; Adventure; Sci-Fi; ,14 July 2000 (USA),7.4,559246,1447,https://www.imdb.com/title/tt0120903/reviews/_ajax?ref_=undefined&paginationKey=,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.728421052631579,0.2617543859649123,0.009824561403508772,2.7828418230563003
73,Thor: Ragnarok,2017,PG-13,2h 10min,Action; Adventure; Comedy; ,3 November 2017 (USA),7.9,557591,1576,https://www.imdb.com/title/tt3501632/reviews/_ajax?ref_=undefined&paginationKey=,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6541878172588832,0.3362944162436548,0.00951776649746193,1.9452830188679244
74,Taken,2008,PG-13,1h 30min,Action; Thriller; ,30 January 2009 (USA),7.8,555820,1056,https://www.imdb.com/title/tt0936501/reviews/_ajax?ref_=undefined&paginationKey=,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.4706439393939394,0.5113636363636364,0.017992424242424244,0.9203703703703704
75,Ant-Man,2015,PG-13,1h 57min,Action; Adventure; Comedy; ,17 July 2015 (USA),7.3,549076,718,https://www.imdb.com/title/tt0478970/reviews/_ajax?ref_=undefined&paginationKey=,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.713091922005571,0.2785515320334262,0.008356545961002786,2.56
